commodity_code,region_code,price_month,price_value,currency_code,unit,source_system,source_url,source_record_id
CEREALS,GLOBAL,1990-01-01,64.1,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-01_1303
CEREALS,GLOBAL,1990-02-01,62.2,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-02_1304
CEREALS,GLOBAL,1990-03-01,61.3,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-03_1305
CEREALS,GLOBAL,1990-04-01,62.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-04_1306
CEREALS,GLOBAL,1990-05-01,62.0,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-05_1307
CEREALS,GLOBAL,1990-06-01,60.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-06_1308
CEREALS,GLOBAL,1990-07-01,57.9,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-07_1309
CEREALS,GLOBAL,1990-08-01,55.7,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-08_1310
CEREALS,GLOBAL,1990-09-01,52.5,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-09_1311
CEREALS,GLOBAL,1990-10-01,52.8,INDEX_POINTS,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,CEREALS_1990-10_1312
