commodity_name,symbol,price_text,currency,ref_period,unit,source_name,source_url,collected_at,record_id
FOOD PRICE INDEX,,64.4,INDEX_POINTS,1990-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-01_1
FOOD PRICE INDEX,,64.7,INDEX_POINTS,1990-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-02_2
FOOD PRICE INDEX,,64.0,INDEX_POINTS,1990-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-03_3
FOOD PRICE INDEX,,66.0,INDEX_POINTS,1990-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-04_4
FOOD PRICE INDEX,,64.6,INDEX_POINTS,1990-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-05_5
FOOD PRICE INDEX,,64.1,INDEX_POINTS,1990-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-06_6
FOOD PRICE INDEX,,62.9,INDEX_POINTS,1990-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-07_7
FOOD PRICE INDEX,,61.8,INDEX_POINTS,1990-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-08_8
FOOD PRICE INDEX,,61.3,INDEX_POINTS,1990-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-09_9
FOOD PRICE INDEX,,61.4,INDEX_POINTS,1990-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-10_10
FOOD PRICE INDEX,,62.3,INDEX_POINTS,1990-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-11_11
FOOD PRICE INDEX,,62.2,INDEX_POINTS,1990-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1990-12_12
FOOD PRICE INDEX,,61.0,INDEX_POINTS,1991-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-01_13
FOOD PRICE INDEX,,61.8,INDEX_POINTS,1991-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-02_14
FOOD PRICE INDEX,,62.3,INDEX_POINTS,1991-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-03_15
FOOD PRICE INDEX,,61.0,INDEX_POINTS,1991-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-04_16
FOOD PRICE INDEX,,60.8,INDEX_POINTS,1991-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-05_17
FOOD PRICE INDEX,,61.3,INDEX_POINTS,1991-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-06_18
FOOD PRICE INDEX,,62.2,INDEX_POINTS,1991-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-07_19
FOOD PRICE INDEX,,61.8,INDEX_POINTS,1991-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-08_20
FOOD PRICE INDEX,,62.4,INDEX_POINTS,1991-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-09_21
FOOD PRICE INDEX,,64.5,INDEX_POINTS,1991-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-10_22
FOOD PRICE INDEX,,64.6,INDEX_POINTS,1991-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-11_23
FOOD PRICE INDEX,,64.3,INDEX_POINTS,1991-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1991-12_24
FOOD PRICE INDEX,,65.1,INDEX_POINTS,1992-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-01_25
FOOD PRICE INDEX,,65.9,INDEX_POINTS,1992-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-02_26
FOOD PRICE INDEX,,66.5,INDEX_POINTS,1992-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-03_27
FOOD PRICE INDEX,,64.8,INDEX_POINTS,1992-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-04_28
FOOD PRICE INDEX,,65.1,INDEX_POINTS,1992-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-05_29
FOOD PRICE INDEX,,65.9,INDEX_POINTS,1992-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-06_30
FOOD PRICE INDEX,,64.7,INDEX_POINTS,1992-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-07_31
FOOD PRICE INDEX,,63.1,INDEX_POINTS,1992-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-08_32
FOOD PRICE INDEX,,63.8,INDEX_POINTS,1992-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-09_33
FOOD PRICE INDEX,,61.8,INDEX_POINTS,1992-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-10_34
FOOD PRICE INDEX,,62.7,INDEX_POINTS,1992-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-11_35
FOOD PRICE INDEX,,61.3,INDEX_POINTS,1992-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1992-12_36
FOOD PRICE INDEX,,61.6,INDEX_POINTS,1993-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-01_37
FOOD PRICE INDEX,,61.4,INDEX_POINTS,1993-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-02_38
FOOD PRICE INDEX,,63.2,INDEX_POINTS,1993-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-03_39
FOOD PRICE INDEX,,62.8,INDEX_POINTS,1993-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-04_40
FOOD PRICE INDEX,,62.4,INDEX_POINTS,1993-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-05_41
FOOD PRICE INDEX,,61.8,INDEX_POINTS,1993-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-06_42
FOOD PRICE INDEX,,62.2,INDEX_POINTS,1993-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-07_43
FOOD PRICE INDEX,,60.9,INDEX_POINTS,1993-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-08_44
FOOD PRICE INDEX,,61.2,INDEX_POINTS,1993-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-09_45
FOOD PRICE INDEX,,61.5,INDEX_POINTS,1993-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-10_46
FOOD PRICE INDEX,,63.4,INDEX_POINTS,1993-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-11_47
FOOD PRICE INDEX,,64.7,INDEX_POINTS,1993-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1993-12_48
FOOD PRICE INDEX,,64.8,INDEX_POINTS,1994-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-01_49
FOOD PRICE INDEX,,64.5,INDEX_POINTS,1994-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-02_50
FOOD PRICE INDEX,,64.8,INDEX_POINTS,1994-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-03_51
FOOD PRICE INDEX,,64.1,INDEX_POINTS,1994-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-04_52
FOOD PRICE INDEX,,65.9,INDEX_POINTS,1994-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-05_53
FOOD PRICE INDEX,,65.5,INDEX_POINTS,1994-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-06_54
FOOD PRICE INDEX,,64.2,INDEX_POINTS,1994-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-07_55
FOOD PRICE INDEX,,66.6,INDEX_POINTS,1994-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-08_56
FOOD PRICE INDEX,,69.6,INDEX_POINTS,1994-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-09_57
FOOD PRICE INDEX,,70.3,INDEX_POINTS,1994-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-10_58
FOOD PRICE INDEX,,73.6,INDEX_POINTS,1994-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-11_59
FOOD PRICE INDEX,,73.3,INDEX_POINTS,1994-12,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1994-12_60
FOOD PRICE INDEX,,73.0,INDEX_POINTS,1995-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-01_61
FOOD PRICE INDEX,,74.7,INDEX_POINTS,1995-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-02_62
FOOD PRICE INDEX,,75.5,INDEX_POINTS,1995-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-03_63
FOOD PRICE INDEX,,74.3,INDEX_POINTS,1995-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-04_64
FOOD PRICE INDEX,,74.1,INDEX_POINTS,1995-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-05_65
FOOD PRICE INDEX,,75.3,INDEX_POINTS,1995-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-06_66
FOOD PRICE INDEX,,79.6,INDEX_POINTS,1995-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-07_67
FOOD PRICE INDEX,,78.1,INDEX_POINTS,1995-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-08_68
FOOD PRICE INDEX,,78.5,INDEX_POINTS,1995-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1995-09_69
